chr	start	end	name	A1_reads	A2_reads	total_reads	allelic_score	allelic_ratio
chr18	36920304	36922207	Gm6756	6	8	14	-0.403	0.43
chr18	36930284	37187657	Pcdha1	785	727	1512	1.147	0.52
chr18	36939204	37187661	Pcdha2	736	690	1426	0.933	0.52
chr18	36946206	37187657	Pcdha3	713	677	1390	0.76	0.51
chr18	36952647	37841873	Gm37013	4313	4032	8345	2.964	0.52
chr18	36952688	37187657	Pcdha4	668	626	1294	0.896	0.52
chr18	36960439	37187657	Pcdha5	617	590	1207	0.644	0.51
chr18	36967630	37841873	Gm38666	4224	3901	8125	3.753	0.52
chr18	36967755	37187657	Pcdha6	579	495	1074	2.248	0.54
chr18	36973801	37841873	Gm38667	4210	3873	8083	4.032	0.52
chr18	36973923	37187657	Pcdha7	564	466	1030	2.905	0.55
chr18	36992466	37187657	Pcdha8	531	431	962	3.155	0.55
chr18	36997879	37187657	Pcdha9	524	421	945	3.348	0.55
chr18	37005319	37187657	Pcdha10	489	411	900	2.291	0.54
chr18	37010857	37187657	Pcdha11	471	407	878	1.777	0.54
chr18	37020229	37187657	Pcdha12	465	405	870	1.644	0.53
chr18	37090135	37187657	Pcdhac1	436	397	833	1.027	0.52
chr18	37143968	37187657	Pcdhac2	392	367	759	0.717	0.52
chr18	37264997	37267454	Pcdhb1	3	0	3	0	1
chr18	37294839	37297614	Pcdhb2	34	14	48	2.559	0.71
chr18	37300798	37304585	Pcdhb3	67	44	111	1.741	0.6
chr18	37307454	37311173	Pcdhb4	28	60	88	-3.373	0.32
chr18	37320380	37323913	Pcdhb5	68	110	178	-2.993	0.38
chr18	37334027	37336346	Pcdhb6	15	39	54	-3.126	0.28
chr18	37341701	37345207	Pcdhb7	37	57	94	-1.607	0.39
chr18	37355270	37357610	Pcdhb8	49	25	74	2.451	0.66
chr18	37400854	37403909	Pcdhb9	208	127	335	5.249	0.62
chr18	37411673	37414514	Pcdhb10	30	29	59	0.301	0.51
chr18	37421417	37425032	Pcdhb11	51	34	85	1.387	0.6
chr18	37435620	37438654	Pcdhb12	56	26	82	3.215	0.68
chr18	37442516	37446209	Pcdhb13	38	81	119	-4.299	0.32
chr18	37447656	37451094	Pcdhb14	31	17	48	1.527	0.65
chr18	37473545	37476340	Pcdhb15	50	20	70	3.657	0.71
chr18	37477767	37483038	Pcdhb16	65	44	109	1.561	0.6
chr18	37485020	37488290	Pcdhb17	43	42	85	0.301	0.51
chr18	37489464	37494503	Pcdhb18	38	62	100	-1.979	0.38
chr18	37496997	37501711	Pcdhb19	84	42	126	3.939	0.67
chr18	37504263	37507660	Pcdhb20	142	102	244	2.208	0.58
chr18	37513651	37516363	Pcdhb21	25	9	34	2.345	0.74
chr18	37518352	37521419	Pcdhb22	31	26	57	0.525	0.54
chr18	37637377	37638723	Slc25a2	0	1	1	0	0
chr18	37640490	37644204	Taf7	84	85	169	-0.301	0.5
chr18	37655725	37659870	LOC105246409	19	21	40	-0.359	0.48
chr18	37661944	37841870	Pcdhga1	1949	1828	3777	1.595	0.52
chr18	37669104	37841870	Pcdhga2	1917	1780	3697	1.898	0.52
chr18	37674334	37841873	Pcdhga3	1894	1766	3660	1.747	0.52
chr18	37680457	37841870	Pcdhgb1	1873	1755	3628	1.584	0.52
chr18	37685399	37841870	Pcdhga4	1805	1716	3521	1.161	0.51
chr18	37689858	37841872	Pcdhgb2	1734	1648	3382	1.143	0.51
chr18	37694500	37841870	Pcdhga5	1718	1624	3342	1.269	0.51
chr18	37707228	37841870	Pcdhga6	1647	1572	3219	1.017	0.51
chr18	37714833	37841873	Pcdhga7	1611	1531	3142	1.1	0.51
chr18	37720553	37841870	Pcdhgb4	1506	1407	2913	1.46	0.52
chr18	37725705	37841873	Pcdhga8	1499	1398	2897	1.501	0.52
chr18	37731153	37841870	Pcdhgb5	1414	1346	2760	0.995	0.51
chr18	37736935	37841863	Pcdhga9	1386	1308	2694	1.161	0.51
chr18	37742093	37841873	Pcdhgb6	1325	1262	2587	0.953	0.51
chr18	37747187	37841870	Pcdhga10	1243	1207	2450	0.62	0.51
chr18	37751778	37841870	Pcdhgb7	1150	1127	2277	0.492	0.51
chr18	37755772	37841873	Pcdhga11	1040	885	1925	3.652	0.54
chr18	37761800	37841873	Pcdhgb8	812	805	1617	0.356	0.5
chr18	37765579	37841873	Pcdhga12	785	756	1541	0.624	0.51
chr18	37806409	37841873	Pcdhgc3	600	581	1181	0.523	0.51
chr18	37815078	37841873	Pcdhgc4	413	413	826	-0.289	0.5
chr18	37819545	37841873	Pcdhgc5	382	392	774	-0.428	0.49
chr18	37827110	37829954	Gm29994	9	7	16	0.396	0.56
chr18	37843600	37935634	Diaph1	142	141	283	0.301	0.5
chr18	37936970	37954988	Hdac3	307	251	558	2.004	0.55
chr18	37955083	37959179	Rell2	97	103	200	-0.441	0.48
chr18	37957433	37969814	Fchsd1	135	113	248	1.04	0.54
chr18	37972622	37999533	Arap3	26	21	47	0.553	0.55
chr18	38025002	38104400	Gm30093	24	13	37	1.306	0.65
chr18	38049788	38061485	Gm41701	4	2	6	0	0.67
chr18	38105756	38145025	Gm30188	24	57	81	-3.8	0.3
chr18	38162663	38168039	Gm30259	4	7	11	-0.562	0.36
chr18	38168483	38173421	Gm38566	4	5	9	0	0.44
chr18	38189453	38212048	Pcdh1	313	294	607	0.634	0.52
chr18	38212111	38229163	2010320O07Rik	18	6	24	1.946	0.75
chr18	38238404	38250565	1700086O06Rik	35	13	48	2.981	0.73
chr18	38250248	38262629	0610009O20Rik	478	636	1114	-5.91	0.43
chr18	38267091	38284401	Pcdh12	1	1	2	0	0.5
chr18	38277459	38317852	Rnf14	2017	1816	3833	3.21	0.53
chr18	38327536	38338993	Gnpda1	119	44	163	8.743	0.73
chr18	38338228	38339710	Gm41702	5	0	5	0	1
chr18	38361360	38367990	Gm41703	2	2	4	0	0.5
chr18	38418911	38465190	Ndfip1	601	464	1065	4.823	0.56
chr18	38586264	38601268	Spry4	67	61	128	0.482	0.52
chr18	38617645	39376285	Arhgap26	1824	1576	3400	4.947	0.54
chr18	38769589	38781337	LOC108168402	5	7	12	-0.412	0.42
chr18	38787163	38789045	Gm38447	0	2	2	0	0
chr18	38838671	38929480	Fgf1	1065	780	1845	10.759	0.58
chr18	38892455	38981623	Gm5820	83	47	130	2.995	0.64
chr18	38996912	39012464	Gm41705	1	4	5	0	0.2
chr18	39357816	39371084	Gm15337	112	95	207	0.876	0.54
chr18	39410544	39519416	Nr3c1	303	330	633	-0.822	0.48
chr18	39804829	39871031	Gm41707	1	0	1	0	1
chr18	39906453	39929433	Gm41708	3	2	5	0	0.6
chr18	40204864	40219399	Yipf5	98	80	178	0.995	0.55
chr18	40242892	40246936	Gm31087	0	1	1	0	0
chr18	40256222	40531184	Kctd16	92	80	172	0.697	0.53
chr18	41875695	41951194	Prelid2	4	1	5	0	0.8
chr18	41985322	41999049	Grxcr2	1	2	3	0	0.33
chr18	42051743	42158695	Sh3rf2	45	48	93	-0.379	0.48
chr18	42178674	42196709	Plac8l1	2	1	3	0	0.67
chr18	42202343	42262189	Lars	327	302	629	0.771	0.52
chr18	42274379	42275197	Gm4013	7	3	10	0.765	0.7
chr18	42275352	42341542	Rbm27	83	56	139	1.868	0.6
chr18	42398399	42433822	Gm31438	0	2	2	0	0
chr18	42511064	42575785	Tcerg1	122	94	216	1.482	0.56
chr18	42578019	42579652	Gpr151	19	19	38	-0.248	0.5
chr18	42615617	42622739	C030004G16Rik	21	6	27	2.528	0.78
chr18	42645220	43059471	Ppp2r2b	614	563	1177	1.14	0.52
chr18	42665657	42675016	Gm41713	11	3	14	1.542	0.79
chr18	42900326	42951506	LOC108167376	26	14	40	1.394	0.65
chr18	43059416	43067590	Gm41712	2	0	2	0	1
chr18	43207696	43317481	Stk32a	145	99	244	2.713	0.59
chr18	43246612	43250551	Gm31647	0	2	2	0	0
chr18	43320978	43438286	Dpysl3	505	508	1013	-0.323	0.5
chr18	43471756	43475532	Gm3650	0	8	8	0	0
chr18	43526201	43687778	Jakmip2	500	587	1087	-2.344	0.46
chr18	43728068	43737237	Spink1	1	0	1	0	1
chr18	43764280	43767399	Scgb3a2	3	1	4	0	0.75
chr18	43959544	44022487	Spink5	0	1	1	0	0
chr18	44334056	44355741	Myot	2	1	3	0	0.67
chr18	44380499	44424969	Dcp2	908	702	1610	6.806	0.56
chr18	44425059	44812182	Mcc	369	339	708	0.861	0.52
chr18	44661664	44676271	A930012L18Rik	160	83	243	6.352	0.66
chr18	44821773	44889720	Ythdc2	112	96	208	0.826	0.54
chr18	45044810	45141138	Gm31706	27	6	33	3.79	0.82
chr18	45268859	45685887	Kcnn2	535	469	1004	1.697	0.53
chr18	45430263	45510292	Gm31907	82	45	127	3.185	0.65
chr18	45558057	45559285	Gm32139	9	14	23	-0.694	0.39
chr18	45655354	45676947	LOC108168379	64	43	107	1.579	0.6
chr18	45683486	46045260	A330093E20Rik	73	140	213	-5.588	0.34
chr18	45718471	45735438	Gm41718	1	0	1	0	1
chr18	46165299	46212607	Trim36	61	77	138	-0.997	0.44
chr18	46235343	46281090	Pggt1b	229	221	450	0.431	0.51
chr18	46282150	46311951	Ccdc112	75	79	154	-0.393	0.49
chr18	46351445	46491048	Gm32288	26	53	79	-2.798	0.33
chr18	46358886	46380566	Gm32339	9	4	13	0.875	0.69
chr18	46464933	46465816	Mospd4	1	1	2	0	0.5
chr18	46504605	46525971	Fem1c	84	102	186	-0.974	0.45
chr18	46558230	46574533	Ticam2	4	2	6	0	0.67
chr18	46585927	46597535	Tmed7	453	434	887	0.564	0.51
chr18	46597666	46610225	Eif1a	229	181	410	1.996	0.56
chr18	46614578	46618344	Gm41719	3	2	5	0	0.6
chr18	46630675	46641603	Gm3734	2	1	3	0	0.67
chr18	46713204	46728582	Cdo1	42	44	86	-0.34	0.49
chr18	46732416	46741839	Atg12	510	624	1134	-3.406	0.45
chr18	46741875	46790826	Ap3s1	428	375	803	1.479	0.53
chr18	46848719	46907246	Lvrn	2	1	3	0	0.67
chr18	46958782	47087995	Commd10	147	136	283	0.559	0.52
chr18	47245253	47369213	Sema6a	139	179	318	-1.845	0.44
chr18	47537734	47718636	Gm5095	2	3	5	0	0.4
chr18	47604662	47635735	Gm32660	2	3	5	0	0.4
chr18	47922840	48107980	G630055G22Rik	5	1	6	0	0.83
chr18	48045334	48048379	Eno1b	2	0	2	0	1
chr18	49696144	49755667	Dtwd2	36	24	60	1.111	0.6
chr18	49755889	49761581	Gm16283	6	0	6	0	1
chr18	49832586	49965473	Dmxl1	323	338	661	-0.533	0.49
chr18	49979426	50093229	Tnfaip8	77	29	106	5.763	0.73
chr18	50013497	50026256	Gm33335	0	2	2	0	0
chr18	50041612	50053050	LOC102635912	58	0	58	17.46	1
chr18	50128200	50196270	Hsd17b4	378	301	679	2.756	0.56
chr18	50170881	50181925	Gm33376	105	66	171	2.752	0.61
chr18	50220920	50226464	LOC108168368	0	3	3	0	0
chr18	51117897	51304641	Prr16	32	36	68	-0.446	0.47
chr18	52465671	52491933	Srfbp1	185	165	350	0.81	0.53
chr18	52516059	52529867	Lox	2	2	4	0	0.5
chr18	52615900	52639832	Zfp474	4	4	8	0	0.5
chr18	52767810	52915935	Sncaip	73	62	135	0.711	0.54
chr18	53176288	53220860	Snx2	89	84	173	0.42	0.51
chr18	53243931	53390837	Snx24	137	99	236	2.101	0.58
chr18	53406340	53418007	Ppic	5	26	31	-4.017	0.16
chr18	53451512	53463804	Gm41726	1	0	1	0	1
chr18	53463582	53575904	Prdm6	4	9	13	-0.875	0.31
chr18	53648150	53705418	Gm19466	394	338	732	1.678	0.54
chr18	53681722	53745603	Cep120	555	471	1026	2.322	0.54
chr18	53862081	53955684	Csnk1g3	228	164	392	3.145	0.58
chr18	54209813	54220440	Gm41729	2	0	2	0	1
chr18	54277269	54281236	Gm41730	1	0	1	0	1
chr18	54422294	54453294	Redrum	1	0	1	0	1
chr18	54482728	54496387	LOC105246441	1	0	1	0	1
chr18	54611743	54639870	9330117O12Rik	42	7	49	6.742	0.86
chr18	54819413	54840255	Gm33732	0	5	5	0	0
chr18	54888044	54992599	Zfp608	97	91	188	0.446	0.52
chr18	54990245	55143752	Gm4221	73	31	104	4.633	0.7
chr18	55022584	55037586	Gm41731	1	0	1	0	1
chr18	55126837	55131737	Gm34011	1	0	1	0	1
chr18	55419440	55461034	Gm34233	0	4	4	0	0
chr18	55726763	55733834	Gm41734	1	0	1	0	1
chr18	56387484	56503792	Gramd3	107	98	205	0.54	0.52
chr18	56403470	56418320	LOC102637792	2	0	2	0	1
chr18	56524721	56572939	Aldh7a1	918	589	1507	16.959	0.61
chr18	56538138	56538198	Mir1258	1	0	1	0	1
chr18	56562568	56587712	Phax	192	184	376	0.445	0.51
chr18	56688351	56689098	Gm41738	1	5	6	0	0.17
chr18	56707812	56753424	Lmnb1	87	84	171	0.357	0.51
chr18	56761715	56925652	March3	34	27	61	0.655	0.56
chr18	56795610	56807656	Gm15345	3	3	6	0	0.5
chr18	56925702	56967063	Gm34632	93	140	233	-2.902	0.4
chr18	56955827	56975406	C330018D20Rik	88	149	237	-4.349	0.37
chr18	57133089	57297467	Megf10	422	308	730	4.856	0.58
chr18	57354213	57355627	Gm10266	1	0	1	0	1
chr18	57354732	57392956	Prrc1	209	288	497	-3.642	0.42
chr18	57405269	57415246	Gm19500	98	84	182	0.776	0.54
chr18	57419746	57429760	Gm34982	127	48	175	9.002	0.73
chr18	57467655	57478134	Ctxn3	63	42	105	1.598	0.6
chr18	57504421	57533752	1700066O22Rik	2	0	2	0	1
chr18	57533779	57731067	1700011I03Rik	24	4	28	4.046	0.86
chr18	57545360	57552397	4930511M06Rik	9	0	9	0	1
chr18	57632078	57638585	2210409D07Rik	1	0	1	0	1
chr18	57878511	57946821	Slc12a2	574	479	1053	2.727	0.55
chr18	58008622	58210564	Fbn2	46	82	128	-3.031	0.36
chr18	58210294	58215455	Gm41741	3	0	3	0	1
chr18	58215510	58222911	Gm26507	8	12	20	-0.599	0.4
chr18	58556239	58612869	Slc27a6	4	13	17	-1.61	0.24
chr18	58659481	58679570	Isoc1	198	197	395	0.301	0.5
chr18	58836143	59053682	Adamts19	24	20	44	0.487	0.55
chr18	59062180	59076962	A730017C20Rik	242	204	446	1.4	0.54
chr18	59175339	59411336	Chsy3	107	64	171	3.203	0.63
chr18	60474190	60518949	Smim3	71	40	111	2.678	0.64
chr18	60526158	60558762	Dctn4	402	310	712	3.496	0.56
chr18	60560785	60572729	Rbm22	181	158	339	0.935	0.53
chr18	60593980	60660174	Synpo	451	415	866	0.931	0.52
chr18	60684493	60748660	Ndst1	526	458	984	1.787	0.53
chr18	60774595	60778546	Rps14	24	14	38	1.145	0.63
chr18	60803848	60812652	Cd74	11	8	19	0.49	0.58
chr18	60813737	60848983	Tcof1	261	214	475	1.761	0.55
chr18	60859207	60868826	Gm41744	3	10	13	-1.336	0.23
chr18	60912239	60919506	Arsi	1	12	13	-2.767	0.08
chr18	60925576	60988152	Camk2a	9798	8425	18223	23.862	0.54
chr18	60953872	60953932	Mir7220	1	4	5	0	0.2
chr18	60980160	60981366	LOC108168390	59	44	103	1.077	0.57
chr18	60995375	61014199	Slc6a7	372	272	644	4.333	0.58
chr18	61045149	61085067	Pdgfrb	146	148	294	-0.322	0.5
chr18	61096808	61131139	Csf1r	303	353	656	-1.556	0.46
chr18	61131276	61177050	Hmgxb3	186	178	364	0.447	0.51
chr18	61174175	61177075	LOC108168367	6	14	20	-1.239	0.3
chr18	61196853	61211596	Slc26a2	43	56	99	-0.944	0.43
chr18	61291444	61401462	Ppargc1b	304	329	633	-0.769	0.48
chr18	61298401	61302631	LOC108168383	5	5	10	-0.205	0.5
chr18	61470224	61484607	A530050N04Rik	2	0	2	0	1
chr18	61484765	61490132	LOC108168397	16	5	21	1.876	0.76
chr18	61491656	61537044	Arhgef37	119	93	212	1.368	0.56
chr18	61555182	61590315	Csnk1a1	1358	1436	2794	-1.139	0.49
chr18	61628031	61642168	Gm35607	6	2	8	0	0.75
chr18	61639652	61647485	Bvht	24	20	44	0.487	0.55
chr18	61645877	61665538	Carmn	12	17	29	-0.64	0.41
chr18	61687934	61692538	Il17b	6	9	15	-0.518	0.4
chr18	61691036	61692246	Gm38165	5	4	9	0	0.56
chr18	61696163	61707635	Pcyox1l	148	189	337	-1.836	0.44
chr18	61712423	61726360	Grpel2	282	198	480	4.136	0.59
chr18	61726389	61728254	1500015A07Rik	42	29	71	1.114	0.59
chr18	61730261	61786662	Afap1l1	147	90	237	3.888	0.62
chr18	61799391	61911859	Ablim3	467	298	765	9.271	0.61
chr18	61937360	61940077	Gm35720	0	2	2	0	0
chr18	61952924	62015719	Sh3tc2	27	34	61	-0.655	0.44
chr18	62028175	62033936	Gm35778	0	1	1	0	0
chr18	62044711	62083606	Gm35887	9	12	21	-0.479	0.43
chr18	62093208	62146379	Gm41750	2	1	3	0	0.67
chr18	62163561	62167828	Gm36003	1	0	1	0	1
chr18	62177712	62179981	Adrb2	4	0	4	0	1
chr18	62180031	62184406	Gm9949	0	1	1	0	0
chr18	62184470	62194083	LOC108168392	13	2	15	2.433	0.87
chr18	62192695	62211307	Gm36124	6	1	7	0	0.86
chr18	62322157	62498026	Htr4	47	38	85	0.715	0.55
chr18	62371491	62406537	Gm36316	1	1	2	0	0.5
chr18	62504058	62548858	Fbxo38	403	387	790	0.528	0.51
chr18	62548910	62664341	Spink10	62	18	80	6.39	0.78
chr18	62549344	62580176	Gm36368	13	4	17	1.61	0.76
chr18	62605897	62741387	Spink13	100	22	122	12.647	0.82
chr18	62744104	62765941	Gm36598	9	28	37	-2.892	0.24
chr18	62751673	62756347	2700046A07Rik	8	18	26	-1.423	0.31
chr18	62922326	62953195	Apcdd1	191	167	358	0.951	0.53
chr18	62977837	62999450	Napg	1071	973	2044	1.797	0.52
chr18	63010212	63387320	Piezo2	14	17	31	-0.444	0.45
chr18	63050707	63068897	Gm36651	1	1	2	0	0.5
chr18	63662800	63692359	Txnl1	691	611	1302	1.846	0.53
chr18	63693886	63708563	Gm41754	3	7	10	-0.765	0.3
chr18	63700619	63704354	Gm41753	0	1	1	0	0
chr18	63708694	63989760	Wdr7	1430	1173	2603	6.591	0.55
chr18	64157723	64277180	St8sia3os	154	159	313	-0.387	0.49
chr18	64254358	64276144	St8sia3	149	159	308	-0.517	0.48
chr18	64340363	64398488	Onecut2	12	12	24	-0.236	0.5
chr18	64456541	64489097	Fech	171	112	283	3.567	0.6
chr18	64499646	64516557	Nars	28	18	46	1.036	0.61
chr18	64528978	64661858	Atp8b1	16	13	29	0.449	0.55
chr18	64887682	65217826	Nedd4l	878	766	1644	2.511	0.53
chr18	65046817	65050600	Gm41756	0	1	1	0	0
chr18	65217774	65223110	Gm41755	2	1	3	0	0.67
chr18	65265528	65393888	Alpk2	20	14	34	0.708	0.59
chr18	65350664	65368726	Gm41757	1	0	1	0	1
chr18	65430968	65478888	Malt1	87	91	178	-0.386	0.49
chr18	65497509	65509541	Gm41758	2	2	4	0	0.5
chr18	65522428	65532039	Gm30018	8	3	11	0.946	0.73
chr18	65537416	65542437	Gm41759	6	0	6	0	1
chr18	65543938	65579186	Gm41760	29	53	82	-2.274	0.35
chr18	65580229	65689443	Zfp532	348	304	652	1.337	0.53
chr18	65697369	65751624	Oacyl	11	12	23	-0.301	0.48
chr18	65800577	65817660	Sec11c	123	124	247	-0.301	0.5
chr18	65863339	65894755	Gm30094	61	62	123	-0.301	0.5
chr18	65872745	65886599	Grp	61	61	122	-0.271	0.5
chr18	65980738	66002635	Lman1	402	304	706	3.892	0.57
chr18	66056854	66291838	Ccbe1	121	146	267	-1.15	0.45
chr18	66458603	66465558	Pmaip1	29	93	122	-8.584	0.24
chr18	66504177	66511737	Gm9926	2	1	3	0	0.67
chr18	66857704	66860487	Mc4r	6	7	13	-0.301	0.46
chr18	67088297	67226792	Gnal	2590	2345	4935	3.591	0.52
chr18	67205358	67207887	Chmp1b	62	76	138	-0.872	0.45
chr18	67225042	67245830	Mppe1	1346	1265	2611	1.231	0.52
chr18	67289222	67318841	Impa2	84	119	203	-2.076	0.41
chr18	67289512	67305817	Gm30321	5	16	21	-1.876	0.24
chr18	67321208	67344103	B430212C06Rik	21	19	40	0.359	0.52
chr18	67343563	67367794	Cidea	16	20	36	-0.51	0.44
chr18	67390730	67402749	Tubb6	69	2	71	17.965	0.97
chr18	67404759	67449136	Afg3l2	689	662	1351	0.62	0.51
chr18	67462233	67464438	LOC108168377	2	3	5	0	0.4
chr18	67464840	67480581	Slmo1	242	143	385	6.59	0.63
chr18	67488208	67610902	Spire1	1367	1183	2550	3.841	0.54
chr18	67616961	67641336	Cep76	193	137	330	2.918	0.58
chr18	67641598	67654162	Psmg2	116	106	222	0.564	0.52
chr18	67665500	67724758	Ptpn2	176	147	323	1.225	0.54
chr18	67761710	67768659	LOC108168382	41	17	58	2.952	0.71
chr18	67772674	67774857	Gm26910	2	4	6	0	0.33
chr18	67774797	67795487	Seh1l	93	64	157	1.901	0.59
chr18	67776032	67799943	4930549G23Rik	93	63	156	2.001	0.6
chr18	67800100	67885170	Cep192	146	98	244	2.894	0.6
chr18	67932534	68259395	Ldlrad4	514	538	1052	-0.621	0.49
chr18	68260174	68300333	Fam210a	360	329	689	0.898	0.52
chr18	68300321	68324852	Rnmt	357	318	675	1.144	0.53
chr18	68337257	68342446	Mc5r	12	16	28	-0.544	0.43
chr18	68551065	68590899	Gm30700	3	0	3	0	1
chr18	68577850	68586338	LOC433198	2	0	2	0	1
chr18	69016024	69087248	Gm31088	1	0	1	0	1
chr18	69171688	69189532	Gm41768	0	1	1	0	0
chr18	69189998	69197962	Gm31294	1	0	1	0	1
chr18	69344487	69687967	Tcf4	1155	1121	2276	0.612	0.51
chr18	69636970	69654954	Gm31439	125	84	209	2.558	0.6
chr18	69758901	69779782	Gm31502	0	3	3	0	0
chr18	69924857	69969488	Ccdc68	4	14	18	-1.811	0.22
chr18	69979130	70141633	Rab27b	445	220	665	18.052	0.67
chr18	70055122	70134833	Gm41770	4	10	14	-1.047	0.29
chr18	70452209	70472504	4930503L19Rik	300	151	451	11.995	0.67
chr18	70472453	70505254	Stard6	40	45	85	-0.478	0.47
chr18	70508679	70531786	Poli	134	157	291	-1.006	0.46
chr18	70516785	70516889	Mir6357	11	13	24	-0.377	0.46
chr18	70559727	70568158	Gm31671	2	0	2	0	1
chr18	70568268	70626131	Mbd2	179	144	323	1.535	0.55
chr18	71253612	72351240	Dcc	208	161	369	2.083	0.56
chr18	73180409	73184544	Gm31960	1	0	1	0	1
chr18	73572591	73592578	Mex3c	103	108	211	-0.407	0.49
chr18	73634857	73703741	Smad4	324	250	574	2.942	0.56
chr18	73701074	73705353	LOC105246496	5	10	15	-0.821	0.33
chr18	73735037	73754841	Elac1	216	164	380	2.356	0.57
chr18	73764955	73815591	Me2	267	221	488	1.683	0.55
chr18	73816196	73819183	LOC108168389	4	1	5	0	0.8
chr18	73849881	73884056	Gm32661	182	119	301	3.774	0.6
chr18	73851820	73881334	Mro	181	116	297	4.014	0.61
chr18	73928485	74065120	Mapk4	704	487	1191	9.76	0.59
chr18	74017906	74020088	D730045A05Rik	4	1	5	0	0.8
chr18	74065102	74068514	Gm9925	32	37	69	-0.501	0.46
chr18	74089438	74103187	Gm32801	0	1	1	0	0
chr18	74195298	74207818	Ska1	2	1	3	0	0.67
chr18	74216091	74221496	Cxxc1	120	94	214	1.36	0.56
chr18	74267604	74282734	Mbd1	332	504	836	-8.832	0.4
chr18	74283099	74359984	Cfap53	7	3	10	0.765	0.7
chr18	74442379	74772698	Myo5b	270	415	685	-7.775	0.39
chr18	74495677	74531124	1700120E14Rik	0	1	1	0	0
chr18	74777889	74778998	Gm41774	2	2	4	0	0.5
chr18	74779211	74806207	Acaa2	154	258	412	-6.771	0.37
chr18	74939321	74961263	Lipg	14	11	25	0.462	0.56
chr18	74998977	75003381	Rpl17	222	23	245	41.63	0.91
chr18	75005273	75009934	BC031181	51	54	105	-0.374	0.49
chr18	75018697	75286966	Dym	297	249	546	1.656	0.54
chr18	75358637	75367201	Gm20544	15	9	24	0.813	0.62
chr18	75367364	75395935	Smad7	98	62	160	2.561	0.61
chr18	75431204	75697696	Ctif	652	420	1072	12.15	0.61
chr18	75514644	75522806	Gm10532	11	14	25	-0.462	0.44
chr18	75816690	75819926	Gm33703	0	1	1	0	0
chr18	75820177	76148564	Zbtb7c	48	24	72	2.501	0.67
chr18	76091556	76098471	2900057B20Rik	6	0	6	0	1
chr18	76241264	76311748	Smad2	88	80	168	0.531	0.52
chr18	76846732	76901064	Skor2	6	11	17	-0.779	0.35
chr18	76930026	76941614	Ier3ip1	309	236	545	2.997	0.57
chr18	76930224	76938853	LOC108167377	36	27	63	0.805	0.57
chr18	76944078	76972171	Hdhd2	285	225	510	2.351	0.56
chr18	76977146	77048226	Katnal2	44	10	54	5.771	0.81
chr18	77060491	77061333	Gm41782	0	1	1	0	0
chr18	77064092	77065219	LOC102634716	0	1	1	0	0
chr18	77065207	77155710	Pias2	154	172	326	-0.761	0.47
chr18	77177566	77186036	LOC108168393	120	76	196	2.989	0.61
chr18	77185794	77255450	St8sia5	574	716	1290	-4.371	0.44
chr18	77281948	77442932	Loxhd1	15	5	20	1.684	0.75
chr18	77456109	77565136	Rnf165	371	325	696	1.357	0.53
chr18	77507692	77514607	Gm41783	2	1	3	0	0.67
chr18	77601851	77607451	Gm41784	3	0	3	0	1
chr18	77631487	77714489	8030462N17Rik	302	274	576	0.885	0.52
chr18	77729491	77732784	LOC105246501	8	6	14	0.403	0.57
chr18	77757566	77773878	Haus1	56	26	82	3.215	0.68
chr18	77773767	77782869	Atp5a1	995	923	1918	1.28	0.52
chr18	77793262	77798168	F830208F22Rik	8	0	8	0	1
chr18	77794549	77882879	Pstpip2	170	166	336	0.361	0.51
chr18	77938407	78037325	Epg5	255	174	429	4.27	0.59
chr18	78100090	78142119	Slc14a1	87	31	118	6.906	0.74
chr18	78120589	78143458	Gm36338	9	4	13	0.875	0.69
chr18	78146143	78596950	Slc14a2	33	10	43	3.518	0.77
chr18	78313143	78353491	Gm36418	7	3	10	0.765	0.7
chr18	78750377	79109391	Setbp1	297	310	607	-0.504	0.49
chr18	80046871	80119640	Pard6g	46	43	89	0.381	0.52
chr18	80126314	80151786	Adnp2	184	200	384	-0.654	0.48
chr18	80186238	80193569	LOC105246506	107	76	183	1.881	0.58
chr18	80192263	80200619	Rbfa	241	129	370	8.516	0.65
chr18	80206793	80225851	Txnl4a	632	500	1132	4.314	0.56
chr18	80228938	80250105	Hsbp1l1	15	6	21	1.407	0.71
chr18	80255244	80292724	Pqlc1	176	205	381	-1.121	0.46
chr18	80294543	80364254	Kcng2	53	62	115	-0.642	0.46
chr18	80316703	80320916	Gm29913	3	4	7	0	0.43
chr18	80362786	80365191	D330025C20Rik	0	7	7	0	0
chr18	80407958	80476229	Ctdp1	173	154	327	0.797	0.53
chr18	80500124	80528162	Gm30020	8	0	8	0	1
chr18	80528233	80530719	Gm41788	1	0	1	0	1
chr18	80606204	80713071	Nfatc1	39	41	80	-0.341	0.49
chr18	80734140	80934079	Atp9b	278	243	521	1.167	0.53
chr18	80966358	80986951	Sall3	49	41	90	0.638	0.54
chr18	80986775	80991150	Gm27239	3	3	6	0	0.5
chr18	82392495	82406777	Galr1	15	3	18	2.424	0.83
chr18	82407335	82410957	Gm30642	1	1	2	0	0.5
chr18	82475122	82585637	Mbp	16392	14286	30678	32.871	0.53
chr18	82593592	82693100	Zfp236	301	164	465	9.974	0.65
chr18	82712853	82728751	Gm41793	5	3	8	0	0.62
chr18	82765263	82786849	LOC108168398	14	0	14	4.214	1
chr18	82910521	83005314	Zfp516	125	106	231	0.928	0.54
